pdf_id,building_id,floor_number,floor_label,pdf_file,has_map_data,map_type,canvas_width,canvas_height
22,DKU_ICT,-1,B1,ICT_B1.pdf,False,evacuation,,
23,DKU_ICT,1,1F,ICT_1Fa.pdf,False,evacuation,,
24,DKU_ICT,2,2F,ICT_2Fa.pdf,False,evacuation,,
25,DKU_ICT,3,3F,ICT_3Fa.pdf,False,evacuation,,
26,DKU_ICT,4,4F,ICT_4Fa.pdf,False,evacuation,,
27,DKU_ICT,5,5F,ICT_5Fa.pdf,False,evacuation,,
16,DKU_LIB,1,1F,LIB_1Fa.pdf,False,evacuation,,
17,DKU_LIB,2,2F,LIB_2Fa.pdf,False,evacuation,,
18,DKU_LIB,3,3F,LIB_3Fa.pdf,False,evacuation,,
19,DKU_LIB,4,4F,LIB_4Fa.pdf,False,evacuation,,
20,DKU_LIB,5,5F,LIB_5Fa.pdf,False,evacuation,,
21,DKU_LIB,6,6F,LIB_6Fa.pdf,False,evacuation,,
AUTO_SCI1_1,DKU_SCI1,1,1F,SCI1_1Fa.pdf,True,evacuation,1000.0,707.0
AUTO_SCI1_2,DKU_SCI1,2,2F,SCI1_2Fa.pdf,True,evacuation,1000.0,707.0
AUTO_SCI1_3,DKU_SCI1,3,3F,SCI1_3Fa.pdf,True,evacuation,1000.0,707.0
AUTO_SCI1_4,DKU_SCI1,4,4F,SCI1_4Fa.pdf,True,evacuation,1000.0,707.0
AUTO_SCI1_5,DKU_SCI1,5,5F,SCI1_5Fa.pdf,True,evacuation,1000.0,707.0
AUTO_SCI2_1,DKU_SCI2,1,1F,SCI2_1Fa.pdf,True,evacuation,1000.0,707.0
AUTO_SCI2_2,DKU_SCI2,2,2F,SCI2_2Fa.pdf,True,evacuation,1000.0,707.0
AUTO_SCI2_3,DKU_SCI2,3,3F,SCI2_3Fa.pdf,True,evacuation,1000.0,707.0
AUTO_SCI2_4,DKU_SCI2,4,4F,SCI2_4Fa.pdf,True,evacuation,1000.0,707.0
AUTO_SCI2_5,DKU_SCI2,5,5F,SCI2_5Fa.pdf,True,evacuation,1000.0,707.0
AUTO_SCI3_1,DKU_SCI3,1,1F,SCI3_1Fa.pdf,True,evacuation,1000.0,707.0
AUTO_SCI3_2,DKU_SCI3,2,2F,SCI3_2Fa.pdf,True,evacuation,1000.0,707.0
AUTO_SCI3_3,DKU_SCI3,3,3F,SCI3_3Fa.pdf,True,evacuation,1000.0,707.0
AUTO_SCI3_4,DKU_SCI3,4,4F,SCI3_4Fa.pdf,True,evacuation,1000.0,707.0
AUTO_SCI3_5,DKU_SCI3,5,5F,SCI3_5Fa.pdf,True,evacuation,1000.0,707.0
