node_id,building_id,floor_number,node_type,x,y,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,indoor_map_id,label,vertical_group_id,description
ICT_3_N001,DKU_ICT,3.0,stair,378.0,606.0,,,,,,,,
ICT_3_N002,DKU_ICT,3.0,corner,408.0,605.0,,,,,,,,
ICT_3_N003,DKU_ICT,3.0,corridor,406.0,397.0,,,,,,,,
ICT_3_N004,DKU_ICT,3.0,corner,408.0,230.0,,,,,,,,
ICT_3_N005,DKU_ICT,3.0,junction,463.0,229.0,,,,,,,,
ICT_3_N006,DKU_ICT,3.0,stair,439.0,259.0,,,,,,,,
ICT_3_N007,DKU_ICT,3.0,elevator,445.0,210.0,,,,,,,,
ICT_3_N008,DKU_ICT,3.0,corridor,579.0,225.0,,,,,,,,
ICT_3_N009,DKU_ICT,3.0,corner,768.0,226.0,,,,,,,,
ICT_3_N010,DKU_ICT,3.0,corridor,768.0,273.0,,,,,,,,
ICT_3_N011,DKU_ICT,3.0,stair,767.0,195.0,,,,,,,,
ICT_4_N012,DKU_ICT,4.0,stair,377.0,606.0,,,,,,,,
ICT_4_N013,DKU_ICT,4.0,corner,407.0,604.0,,,,,,,,
ICT_4_N014,DKU_ICT,4.0,corridor,405.0,408.0,,,,,,,,
ICT_4_N015,DKU_ICT,4.0,corner,408.0,227.0,,,,,,,,
ICT_4_N016,DKU_ICT,4.0,junction,464.0,225.0,,,,,,,,
ICT_4_N017,DKU_ICT,4.0,stair,436.0,259.0,,,,,,,,
ICT_4_N018,DKU_ICT,4.0,elevator,447.0,211.0,,,,,,,,
ICT_4_N019,DKU_ICT,4.0,corridor,586.0,224.0,,,,,,,,
ICT_4_N020,DKU_ICT,4.0,corner,767.0,224.0,,,,,,,,
ICT_4_N021,DKU_ICT,4.0,corridor,768.0,273.0,,,,,,,,
ICT_4_N022,DKU_ICT,4.0,stair,768.0,191.0,,,,,,,,
ICT_5_N023,DKU_ICT,5.0,stair,374.0,606.0,,,,,,,,
ICT_5_N024,DKU_ICT,5.0,corner,412.0,602.0,,,,,,,,
ICT_5_N025,DKU_ICT,5.0,corridor,411.0,416.0,,,,,,,,
ICT_5_N026,DKU_ICT,5.0,corner,407.0,230.0,,,,,,,,
ICT_5_N027,DKU_ICT,5.0,junction,479.0,228.0,,,,,,,,
ICT_5_N028,DKU_ICT,5.0,stair,436.0,261.0,,,,,,,,
ICT_5_N029,DKU_ICT,5.0,elevator,449.0,212.0,,,,,,,,
ICT_5_N030,DKU_ICT,5.0,corridor,598.0,224.0,,,,,,,,
ICT_5_N031,DKU_ICT,5.0,corner,761.0,225.0,,,,,,,,
ICT_5_N032,DKU_ICT,5.0,corridor,766.0,272.0,,,,,,,,
ICT_5_N033,DKU_ICT,5.0,stair,768.0,193.0,,,,,,,,
ICT_2_N034,DKU_ICT,2.0,stair,375.0,605.0,,,,,,,,
ICT_2_N035,DKU_ICT,2.0,corner,408.0,602.0,,,,,,,,
ICT_2_N036,DKU_ICT,2.0,corridor,404.0,421.0,,,,,,,,
ICT_2_N037,DKU_ICT,2.0,corner,408.0,227.0,,,,,,,,
ICT_2_N038,DKU_ICT,2.0,junction,482.0,226.0,,,,,,,,
ICT_2_N039,DKU_ICT,2.0,stair,434.0,259.0,,,,,,,,
ICT_2_N040,DKU_ICT,2.0,elevator,448.0,209.0,,,,,,,,
ICT_2_N041,DKU_ICT,2.0,corridor,598.0,225.0,,,,,,,,
ICT_2_N042,DKU_ICT,2.0,corner,767.0,226.0,,,,,,,,
ICT_2_N043,DKU_ICT,2.0,corridor,768.0,272.0,,,,,,,,
ICT_2_N044,DKU_ICT,2.0,stair,771.0,195.0,,,,,,,,
ICT_2_N045,DKU_ICT,2.0,corridor,502.0,598.0,,,,,,,,
ICT_1_N046,DKU_ICT,1.0,stair,374.0,603.0,,,,,,,,
ICT_1_N047,DKU_ICT,1.0,corner,408.0,605.0,,,,,,,,
ICT_1_N048,DKU_ICT,1.0,corridor,405.0,392.0,,,,,,,,
ICT_1_N049,DKU_ICT,1.0,corner,407.0,229.0,,,,,,,,
ICT_1_N050,DKU_ICT,1.0,junction,472.0,229.0,,,,,,,,
ICT_1_N051,DKU_ICT,1.0,stair,433.0,251.0,,,,,,,,
ICT_1_N052,DKU_ICT,1.0,elevator,448.0,211.0,,,,,,,,
ICT_1_N053,DKU_ICT,1.0,junction,530.0,223.0,,,,,,,,
ICT_1_N054,DKU_ICT,1.0,corridor,646.0,221.0,,,,,,,,
ICT_1_N055,DKU_ICT,1.0,corner,768.0,229.0,,,,,,,,
ICT_1_N056,DKU_ICT,1.0,corridor,770.0,271.0,,,,,,,,
ICT_1_N057,DKU_ICT,1.0,stair,769.0,194.0,,,,,,,,
ICT_1_N058,DKU_ICT,1.0,entrance,526.0,254.0,,,,,,,,
ICT_1_N059,DKU_ICT,1.0,entrance,465.0,178.0,,,,,,,,
ICT_1_N060,DKU_ICT,1.0,entrance,433.0,552.0,,,,,,,,
ICT_1_N061,DKU_ICT,1.0,junction,410.0,554.0,,,,,,,,
ICT_-1_N062,DKU_ICT,-1.0,stair,373.0,603.0,,,,,,,,
ICT_-1_N063,DKU_ICT,-1.0,corner,406.0,601.0,,,,,,,,
ICT_-1_N064,DKU_ICT,-1.0,corridor,407.0,403.0,,,,,,,,
ICT_-1_N065,DKU_ICT,-1.0,corner,409.0,228.0,,,,,,,,
ICT_-1_N066,DKU_ICT,-1.0,corner,449.0,227.0,,,,,,,,
ICT_-1_N067,DKU_ICT,-1.0,stair,434.0,247.0,,,,,,,,
ICT_-1_N068,DKU_ICT,-1.0,elevator,448.0,209.0,,,,,,,,
ICT_-1_N069,DKU_ICT,-1.0,entrance,370.0,586.0,,,,,,,,
LIB_2_N001,DKU_LIB,2.0,entrance,283.0,417.0,,,,,,,,
LIB_2_N002,DKU_LIB,2.0,corridor,345.0,419.0,,,,,,,,
LIB_2_N003,DKU_LIB,2.0,corridor,421.0,419.0,,,,,,,,
LIB_2_N004,DKU_LIB,2.0,entrance,489.0,416.0,,,,,,,,
LIB_2_N005,DKU_LIB,2.0,corridor,573.0,415.0,,,,,,,,
LIB_2_N006,DKU_LIB,2.0,entrance,646.0,415.0,,,,,,,,
LIB_2_N007,DKU_LIB,2.0,corridor,719.0,407.0,,,,,,,,
LIB_2_N008,DKU_LIB,2.0,corridor,783.0,408.0,,,,,,,,
LIB_2_N009,DKU_LIB,2.0,entrance,854.0,409.0,,,,,,,,
LIB_2_N010,DKU_LIB,2.0,stair,768.0,444.0,,,,,,,,
LIB_2_N011,DKU_LIB,2.0,stair,569.0,534.0,,,,,,,,
LIB_2_N012,DKU_LIB,2.0,stair,632.0,264.0,,,,,,,,
LIB_2_N013,DKU_LIB,2.0,stair,511.0,261.0,,,,,,,,
LIB_2_N014,DKU_LIB,2.0,stair,414.0,471.0,,,,,,,,
LIB_2_N015,DKU_LIB,2.0,stair,372.0,391.0,,,,,,,,
LIB_3_N016,DKU_LIB,3.0,stair,421.0,377.0,,,,,,,,
LIB_3_N017,DKU_LIB,3.0,junction,482.0,377.0,,,,,,,,
LIB_3_N018,DKU_LIB,3.0,corner,484.0,321.0,,,,,,,,
LIB_3_N019,DKU_LIB,3.0,corridor,522.0,431.0,,,,,,,,
LIB_3_N020,DKU_LIB,3.0,corridor,573.0,379.0,,,,,,,,
