room_id,nearest_node_id
DKU_ICT_-1_101,ICT_-1_N065
DKU_ICT_-1_102,ICT_-1_N064
DKU_ICT_-1_103,ICT_-1_N064
DKU_ICT_-1_104,ICT_-1_N064
DKU_ICT_-1_105,ICT_-1_N069
DKU_ICT_-1_107,ICT_-1_N064
DKU_ICT_-1_108,ICT_-1_N064
DKU_ICT_-1_109,ICT_-1_N064
DKU_ICT_-1_110,ICT_-1_N064
DKU_ICT_-1_111,ICT_-1_N064
DKU_ICT_1_101,ICT_1_N054
DKU_ICT_1_102,ICT_1_N054
DKU_ICT_1_103,ICT_1_N054
DKU_ICT_1_104,ICT_1_N054
DKU_ICT_1_105,ICT_1_N054
DKU_ICT_1_106,ICT_1_N053
DKU_ICT_1_107,ICT_1_N053
DKU_ICT_1_108,ICT_1_N049
DKU_ICT_1_109,ICT_1_N048
DKU_ICT_1_110,ICT_1_N048
DKU_ICT_1_111,ICT_1_N048
DKU_ICT_1_112,ICT_1_N048
DKU_ICT_1_113,ICT_1_N048
DKU_ICT_1_114,ICT_1_N061
DKU_ICT_1_115,ICT_1_N048
DKU_ICT_1_116,ICT_1_N048
DKU_ICT_1_117,ICT_1_N061
DKU_ICT_1_118,ICT_1_N061
DKU_ICT_1_119,ICT_1_N048
DKU_ICT_1_120,ICT_1_N048
DKU_ICT_1_121,ICT_1_N048
DKU_ICT_1_122,ICT_1_N048
DKU_ICT_1_123,ICT_1_N048
DKU_ICT_1_124,ICT_1_N048
DKU_ICT_1_125,ICT_1_N048
DKU_ICT_1_126,ICT_1_N048
DKU_ICT_1_127,ICT_1_N048
DKU_ICT_2_201,ICT_2_N041
DKU_ICT_2_202,ICT_2_N041
DKU_ICT_2_203,ICT_2_N041
DKU_ICT_2_204,ICT_2_N041
DKU_ICT_2_205,ICT_2_N041
DKU_ICT_2_206,ICT_2_N041
DKU_ICT_2_207,ICT_2_N041
DKU_ICT_2_208,ICT_2_N037
DKU_ICT_2_209,ICT_2_N036
DKU_ICT_2_210,ICT_2_N036
DKU_ICT_2_211,ICT_2_N036
DKU_ICT_2_212,ICT_2_N036
DKU_ICT_2_213,ICT_2_N036
DKU_ICT_2_214,ICT_2_N036
DKU_ICT_2_215,ICT_2_N045
DKU_ICT_2_216,ICT_2_N045
DKU_ICT_2_217,ICT_2_N035
DKU_ICT_2_218,ICT_2_N035
DKU_ICT_2_219,ICT_2_N036
DKU_ICT_2_220,ICT_2_N036
DKU_ICT_2_221,ICT_2_N036
DKU_ICT_2_222,ICT_2_N036
DKU_ICT_2_223,ICT_2_N036
DKU_ICT_2_224,ICT_2_N036
DKU_ICT_2_225,ICT_2_N036
DKU_ICT_2_226,ICT_2_N036
DKU_ICT_2_227,ICT_2_N036
DKU_ICT_3_301,ICT_3_N008
DKU_ICT_3_302,ICT_3_N008
DKU_ICT_3_303,ICT_3_N008
DKU_ICT_3_304,ICT_3_N009
DKU_ICT_3_305,ICT_3_N009
DKU_ICT_3_306,ICT_3_N008
DKU_ICT_3_307,ICT_3_N008
DKU_ICT_3_308,ICT_3_N008
DKU_ICT_3_309,ICT_3_N008
DKU_ICT_3_310,ICT_3_N008
DKU_ICT_3_311,ICT_3_N004
DKU_ICT_3_312,ICT_3_N003
DKU_ICT_3_313,ICT_3_N003
DKU_ICT_3_314,ICT_3_N003
DKU_ICT_3_315,ICT_3_N003
DKU_ICT_3_316,ICT_3_N003
DKU_ICT_3_317,ICT_3_N003
DKU_ICT_3_318,ICT_3_N003
DKU_ICT_3_319,ICT_3_N002
DKU_ICT_3_320,ICT_3_N002
DKU_ICT_3_321,ICT_3_N003
DKU_ICT_3_322,ICT_3_N003
DKU_ICT_3_323,ICT_3_N003
DKU_ICT_3_324,ICT_3_N003
DKU_ICT_3_325,ICT_3_N003
DKU_ICT_3_326,ICT_3_N003
DKU_ICT_3_327,ICT_3_N003
DKU_ICT_3_328,ICT_3_N003
DKU_ICT_3_329,ICT_3_N003
DKU_ICT_3_330,ICT_3_N003
DKU_ICT_3_331,ICT_3_N003
DKU_ICT_3_332,ICT_3_N008
DKU_ICT_4_401,ICT_4_N019
DKU_ICT_4_402,ICT_4_N019
DKU_ICT_4_403,ICT_4_N019
DKU_ICT_4_404,ICT_4_N019
DKU_ICT_4_405,ICT_4_N019
DKU_ICT_4_406,ICT_4_N019
DKU_ICT_4_407,ICT_4_N020
DKU_ICT_4_408,ICT_4_N019
DKU_ICT_4_409,ICT_4_N019
DKU_ICT_4_410,ICT_4_N019
DKU_ICT_4_411,ICT_4_N015
DKU_ICT_4_412,ICT_4_N015
DKU_ICT_4_413,ICT_4_N014
DKU_ICT_4_414,ICT_4_N014
DKU_ICT_4_415,ICT_4_N014
DKU_ICT_4_416,ICT_4_N014
DKU_ICT_4_417,ICT_4_N014
DKU_ICT_4_418,ICT_4_N013
DKU_ICT_4_419,ICT_4_N014
DKU_ICT_4_420,ICT_4_N014
DKU_ICT_4_421,ICT_4_N014
DKU_ICT_4_422,ICT_4_N014
DKU_ICT_4_423,ICT_4_N014
DKU_ICT_4_424,ICT_4_N014
DKU_ICT_4_425,ICT_4_N014
DKU_ICT_4_426,ICT_4_N014
DKU_ICT_4_427,ICT_4_N014
DKU_ICT_4_428,ICT_4_N014
DKU_ICT_4_429,ICT_4_N015
DKU_ICT_4_430,ICT_4_N016
DKU_ICT_5_501,ICT_5_N027
DKU_ICT_5_502,ICT_5_N030
DKU_ICT_5_503,ICT_5_N030
DKU_ICT_5_504,ICT_5_N030
DKU_ICT_5_505,ICT_5_N030
DKU_ICT_5_506,ICT_5_N030
DKU_ICT_5_507,ICT_5_N030
DKU_ICT_5_508,ICT_5_N030
DKU_ICT_5_509,ICT_5_N030
DKU_ICT_5_510,ICT_5_N030
DKU_ICT_5_511,ICT_5_N030
DKU_ICT_5_512,ICT_5_N031
DKU_ICT_5_513,ICT_5_N031
DKU_ICT_5_514,ICT_5_N030
DKU_ICT_5_515,ICT_5_N030
DKU_ICT_5_516,ICT_5_N030
DKU_ICT_5_517,ICT_5_N027
DKU_LIB_1_103,LIB_1_N071
DKU_LIB_1_110,LIB_1_N074
DKU_LIB_2_201,LIB_2_N006
DKU_LIB_2_202,LIB_2_N008
DKU_LIB_2_205,LIB_2_N008
DKU_LIB_2_206,LIB_2_N008
DKU_LIB_2_207,LIB_2_N004
DKU_LIB_2_211,LIB_2_N002
DKU_LIB_2_212,LIB_2_N003
DKU_LIB_3_301,LIB_3_N028
DKU_LIB_3_302,LIB_3_N023
DKU_LIB_3_303,LIB_3_N023
DKU_LIB_3_304,LIB_3_N023
DKU_LIB_3_305,LIB_3_N023
DKU_LIB_3_306,LIB_3_N023
DKU_LIB_3_307,LIB_3_N023
DKU_LIB_3_308,LIB_3_N018
DKU_LIB_3_309,LIB_3_N018
DKU_LIB_3_310,LIB_3_N018
DKU_LIB_3_311,LIB_3_N018
DKU_LIB_3_312,LIB_3_N018
DKU_LIB_3_313,LIB_3_N018
DKU_LIB_3_314,LIB_3_N018
DKU_LIB_3_315,LIB_3_N017
DKU_LIB_3_316,LIB_3_N031
DKU_LIB_3_317,LIB_3_N031
DKU_LIB_3_318,LIB_3_N031
DKU_LIB_3_319,LIB_3_N031
DKU_LIB_3_320,LIB_3_N031
DKU_LIB_4_401,LIB_4_N040
DKU_LIB_4_402,LIB_4_N038
DKU_LIB_4_403,LIB_4_N037
DKU_LIB_4_404,LIB_4_N037
DKU_LIB_4_405,LIB_4_N037
DKU_LIB_4_406,LIB_4_N037
DKU_LIB_4_407,LIB_4_N036
DKU_LIB_4_408,LIB_4_N034
DKU_LIB_4_409,LIB_4_N034
DKU_LIB_5_501,LIB_5_N052
DKU_LIB_5_502,LIB_5_N050
DKU_LIB_5_503,LIB_5_N049
DKU_LIB_5_504,LIB_5_N049
DKU_LIB_5_505,LIB_5_N049
DKU_LIB_5_506,LIB_5_N049
DKU_LIB_5_507,LIB_5_N048
DKU_LIB_5_508,LIB_5_N045
DKU_LIB_5_509,LIB_5_N045
DKU_LIB_6_601,LIB_6_N064
DKU_LIB_6_602,LIB_6_N064
DKU_LIB_6_603,LIB_6_N060
DKU_LIB_6_604,LIB_6_N060
DKU_LIB_6_605,LIB_6_N060
DKU_LIB_6_606,LIB_6_N059
DKU_LIB_6_607,LIB_6_N059
DKU_LIB_6_608,LIB_6_N059
DKU_LIB_6_609,LIB_6_N059
DKU_LIB_6_610,LIB_6_N058
DKU_LIB_6_611,LIB_6_N055
DKU_SCI1_1_101,SCI1_1_R_101
DKU_SCI1_1_102,SCI1_1_R_102
DKU_SCI1_1_103,SCI1_1_R_103
DKU_SCI1_1_104,SCI1_1_R_104
DKU_SCI1_1_105,SCI1_1_R_105
DKU_SCI1_1_106,SCI1_1_R_106
DKU_SCI1_1_107,SCI1_1_R_107
DKU_SCI1_1_108,SCI1_1_R_108
DKU_SCI1_1_110,SCI1_1_R_110
DKU_SCI1_1_111,SCI1_1_R_111
DKU_SCI1_1_112,SCI1_1_R_112
DKU_SCI1_1_113,SCI1_1_R_113
DKU_SCI1_1_113_1,SCI1_1_R_113_1
DKU_SCI1_2_201,SCI1_2_R_201
DKU_SCI1_2_202,SCI1_2_R_202
DKU_SCI1_2_203,SCI1_2_R_203
DKU_SCI1_2_204,SCI1_2_R_204
DKU_SCI1_2_205,SCI1_2_R_205
DKU_SCI1_2_206,SCI1_2_R_206
DKU_SCI1_2_207,SCI1_2_R_207
DKU_SCI1_2_208,SCI1_2_R_208
DKU_SCI1_2_209,SCI1_2_R_209
DKU_SCI1_2_210,SCI1_2_R_210
DKU_SCI1_2_211,SCI1_2_R_211
DKU_SCI1_2_212,SCI1_2_R_212
DKU_SCI1_2_213,SCI1_2_R_213
DKU_SCI1_2_214,SCI1_2_R_214
DKU_SCI1_2_215,SCI1_2_R_215
DKU_SCI1_2_216,SCI1_2_R_216
DKU_SCI1_2_217,SCI1_2_R_217
DKU_SCI1_2_218,SCI1_2_R_218
DKU_SCI1_2_219,SCI1_2_R_219
DKU_SCI1_2_220,SCI1_2_R_220
DKU_SCI1_2_221,SCI1_2_R_221
DKU_SCI1_2_222,SCI1_2_R_222
DKU_SCI1_2_223,SCI1_2_R_223
DKU_SCI1_2_224,SCI1_2_R_224
DKU_SCI1_2_225,SCI1_2_R_225
DKU_SCI1_2_226,SCI1_2_R_226
DKU_SCI1_2_227,SCI1_2_R_227
DKU_SCI1_2_228,SCI1_2_R_228
DKU_SCI1_2_229,SCI1_2_R_229
DKU_SCI1_3_301,SCI1_3_N008
DKU_SCI1_3_303,SCI1_3_N008
DKU_SCI1_3_304,SCI1_3_N008
DKU_SCI1_3_305,SCI1_3_N007
DKU_SCI1_3_306,SCI1_3_N007
DKU_SCI1_3_307,SCI1_3_N006
DKU_SCI1_3_308,SCI1_3_N002
DKU_SCI1_3_309,SCI1_3_N003
DKU_SCI1_3_310,SCI1_3_N003
DKU_SCI1_3_311,SCI1_3_N003
DKU_SCI1_3_312,SCI1_3_N003
DKU_SCI1_3_313,SCI1_3_N003
