room_position_id,room_id,x,y,width,height,polygon_points,nearest_indoor_node_id,center_x,center_y
POS_001,DKU_ICT_-1_101,355.0,232.0,43.0,40.0,"355,232;398,232;398,272;355,272",,,
POS_002,DKU_ICT_-1_102,357.0,276.0,39.0,82.0,"357,276;396,276;396,358;357,358",,,
POS_003,DKU_ICT_-1_103,358.0,394.0,36.0,62.0,"358,363;394,363;394,425;358,425",,,
POS_004,DKU_ICT_-1_104,346.0,447.0,49.0,85.0,"346,447;395,447;395,532;346,532",,,
POS_005,DKU_ICT_-1_105,347.0,535.0,48.0,16.0,"347,535;395,535;395,551;347,551",,,
POS_006,DKU_ICT_-1_106,,,,,,,,
POS_007,DKU_ICT_-1_107,418.0,492.0,36.0,37.0,"418,492;454,492;454,529;418,529",,,
POS_008,DKU_ICT_-1_108,417.0,406.0,37.0,80.0,"417,406;454,406;454,486;417,486",,,
POS_009,DKU_ICT_-1_109,415.0,384.0,41.0,19.0,"415,384;456,384;456,403;415,403",,,
POS_010,DKU_ICT_-1_110,417.0,362.0,38.0,19.0,"417,362;455,362;455,381;417,381",,,
POS_011,DKU_ICT_-1_111,417.0,275.0,39.0,84.0,"415,275;454,275;454,359;415,359",,,
POS_012,DKU_ICT_-1_112,476.0,219.0,63.0,54.0,"476,219;539,219;539,273;476,273",,,
POS_013,DKU_ICT_-1_113,499.0,166.0,40.0,51.0,"499,166;539,166;539,217;499,217",,,
POS_014,DKU_ICT_-1_114,460.0,168.0,33.0,48.0,"460,168;493,168;493,216;460,216",,,
POS_015,DKU_ICT_1_101,585.0,233.0,83.0,39.0,"585,233;668,233;668,272;585,272",,,
POS_016,DKU_ICT_1_102,637.0,234.0,82.0,37.0,"673,234;755,234;755,271;673,271",,,
POS_017,DKU_ICT_1_103,737.0,164.0,18.0,51.0,"737,164;755,164;755,215;737,215",,,
POS_018,DKU_ICT_1_104,672.0,164.0,60.0,53.0,"672,164;732,164;732,217;672,217",,,
POS_019,DKU_ICT_1_105,585.0,174.0,40.0,41.0,"585,174;625,174;625,215;585,215",,,
POS_020,DKU_ICT_1_106,564.0,173.0,18.0,31.0,"564,173;582,173;582,204;564,204",,,
POS_021,DKU_ICT_1_107,544.0,173.0,16.0,31.0,"544,173;560,173;560,204;544,204",,,
POS_022,DKU_ICT_1_108,355.0,230.0,39.0,41.0,"355,230;394,230;394,271;355,271",,,
POS_023,DKU_ICT_1_109,357.0,275.0,38.0,64.0,"357,275;395,275;395,339;357,339",,,
POS_024,DKU_ICT_1_110,355.0,343.0,38.0,16.0,"355,343;393,343;393,359;355,359",,,
POS_025,DKU_ICT_1_111,372.0,362.0,21.0,38.0,"372,362;393,362;393,400;372,400",,,
POS_026,DKU_ICT_1_112,372.0,403.0,23.0,39.0,"372,403;395,403;395,442;372,442",,,
POS_027,DKU_ICT_1_113,347.0,466.0,48.0,44.0,"347,466;395,466;395,510;347,510",,,
POS_028,DKU_ICT_1_114,345.0,535.0,48.0,14.0,"345,535;393,535;393,549;345,549",,,
POS_029,DKU_ICT_1_115,,,,,,,,
POS_030,DKU_ICT_1_116,,,,,,,,
POS_031,DKU_ICT_1_117,416.0,512.0,38.0,19.0,"416,512;454,512;454,531;416,531",,,
POS_032,DKU_ICT_1_118,414.0,491.0,40.0,19.0,"414,491;454,491;454,510;414,510",,,
POS_033,DKU_ICT_1_119,415.0,470.0,39.0,19.0,"415,470;454,470;454,489;415,489",,,
POS_034,DKU_ICT_1_120,416.0,449.0,38.0,17.0,"416,449;454,449;454,466;416,466",,,
POS_035,DKU_ICT_1_121,416.0,427.0,38.0,18.0,"416,427;454,427;454,445;416,445",,,
POS_036,DKU_ICT_1_122,415.0,406.0,38.0,18.0,"415,406;453,406;453,424;415,424",,,
POS_037,DKU_ICT_1_123,416.0,384.0,38.0,17.0,"416,384;454,384;454,401;416,401",,,
POS_038,DKU_ICT_1_124,415.0,361.0,38.0,18.0,"415,361;453,361;453,379;415,379",,,
POS_039,DKU_ICT_1_125,415.0,341.0,40.0,17.0,"415,341;455,341;455,358;415,358",,,
POS_040,DKU_ICT_1_126,417.0,317.0,37.0,19.0,"417,317;454,317;454,336;417,336",,,
POS_041,DKU_ICT_1_127,416.0,273.0,38.0,20.0,"416,273;454,273;454,293;416,293",,,
POS_042,DKU_ICT_1_128,,,,,,,,
POS_043,DKU_ICT_2_201,542.0,232.0,40.0,40.0,"542,232;582,232;582,272;542,272",,,
POS_044,DKU_ICT_2_202,586.0,234.0,40.0,39.0,"586,234;626,234;626,273;586,273",,,
POS_045,DKU_ICT_2_203,629.0,232.0,60.0,41.0,"629,232;689,232;689,273;629,273",,,
POS_046,DKU_ICT_2_204,695.0,232.0,59.0,42.0,"695,232;754,232;754,274;695,274",,,
POS_047,DKU_ICT_2_205,672.0,175.0,82.0,40.0,"672,175;754,175;754,215;672,215",,,
POS_048,DKU_ICT_2_206,629.0,174.0,41.0,42.0,"629,174;670,174;670,216;629,216",,,
POS_049,DKU_ICT_2_207,544.0,173.0,81.0,43.0,"544,173;625,173;625,216;544,216",,,
POS_050,DKU_ICT_2_208,356.0,232.0,39.0,39.0,"356,232;395,232;395,271;356,271",,,
POS_051,DKU_ICT_2_209,,,,,,,,
POS_052,DKU_ICT_2_210,357.0,275.0,37.0,40.0,"357,275;394,275;394,315;357,315",,,
POS_053,DKU_ICT_2_211,357.0,320.0,38.0,29.0,"357,320;395,320;395,349;357,349",,,
POS_054,DKU_ICT_2_212,357.0,361.0,38.0,40.0,"357,361;395,361;395,401;357,401",,,
POS_055,DKU_ICT_2_213,356.0,406.0,40.0,36.0,"356,406;396,406;396,442;356,442",,,
