,building_id,entrance_id,node_id,outdoor_node_id
,DKU_ICT,ICT_ENTRANCE_1,ICT_1_N058,OUT_ICT_FRONT_02
,DKU_ICT,ICT_ENTRANCE_2,ICT_1_N059,OUT_ICT_FRONT_03
,DKU_ICT,ICT_ENTRANCE_3,ICT_1_N060,OUT_ICT_FRONT_01
,DKU_ICT,ICT_ENTRANCE_4,ICT_-1_N069,OUT_ICT_FRONT_04
,DKU_LIB,LIB_ENTRANCE_3,LIB_2_N001,OUT_LIB_FRONT_01
,DKU_LIB,LIB_ENTRANCE_6,LIB_2_N009,OUT_LIB_FRONT_02
,DKU_LIB,LIB_ENTRANCE_7,LIB_3_N021,OUT_LIB_FRONT_03
,DKU_LIB,LIB_ENTRANCE_8,LIB_2_N005,OUT_LIB_FRONT_04
,DKU_SCI1,SCI1_MAIN_ENTRANCE_1F,SCI1_1_V001,OUT_SCI1_FRONT_01
,DKU_SCI2,SCI2_MAIN_ENTRANCE_1F,SCI2_1_V001,OUT_SCI2_FRONT_01
,DKU_SCI3,SCI3_MAIN_ENTRANCE_1F,SCI3_1_V001,OUT_SCI3_FRONT_01
,DKU_SCI1,SCI1_LEVEL2_FLAT_EXIT,SCI1_2_V001,OUT_SCI1_LEVEL2_EXIT
,DKU_SCI2,SCI2_LEVEL1_FLAT_WEST,SCI2_1_V001,OUT_SCI2_LEVEL1_WEST
,DKU_SCI2,SCI2_LEVEL2_FLAT_EAST,SCI2_2_V001,OUT_SCI2_LEVEL2_EAST
,DKU_SCI3,SCI3_LEVEL1_FLAT_WEST,SCI3_1_V001,OUT_SCI3_LEVEL1_WEST
