,edge_id,from_node_id,to_node_id,distance_m,edge_type,has_stairs,has_ramp,is_covered,polyline_points
,E001,OUT_ICT_FRONT_01,OUT_RAMP_START_01,,walkway,FALSE,FALSE,FALSE,
,E002,OUT_ICT_FRONT_02,OUT_RAMP_START_01,,walkway,FALSE,FALSE,FALSE,
,E003,OUT_ICT_FRONT_04,OUT_RAMP_START_01,,walkway,FALSE,FALSE,FALSE,
,E004,OUT_RAMP_START_01,OUT_RAMP_START_02,,walkway,FALSE,FALSE,FALSE,
,E005,OUT_RAMP_START_01,OUT_JUNCTION_01,,ramp,FALSE,TRUE,FALSE,
,E006,OUT_RAMP_START_01,OUT_JUNCTION_02,,ramp,FALSE,TRUE,FALSE,
,E007,OUT_ICT_FRONT_03,OUT_RAMP_START_03,,walkway,FALSE,FALSE,FALSE,
,E008,OUT_RAMP_START_03,OUT_RAMP_MID_01,,ramp,FALSE,TRUE,FALSE,
,E009,OUT_RAMP_MID_01,OUT_RAMP_MID_02,,ramp,FALSE,TRUE,FALSE,
,E010,OUT_RAMP_MID_02,OUT_JUNCTION_03,,ramp,FALSE,TRUE,FALSE,
,E011,OUT_JUNCTION_03,OUT_JUNCTION_01,,walkway,FALSE,FALSE,FALSE,
,E012,OUT_JUNCTION_03,OUT_JUNCTION_02,,walkway,FALSE,FALSE,FALSE,
,E013,OUT_JUNCTION_02,OUT_LIB_FRONT_01,,ramp,FALSE,TRUE,FALSE,
,E014,OUT_JUNCTION_03,OUT_LIB_FRONT_01,,walkway,FALSE,FALSE,FALSE,
,E015,OUT_JUNCTION_02,OUT_LIB_FRONT_04,,stair,TRUE,FALSE,FALSE,
,E016,OUT_RAMP_START_02,OUT_JUNCTION_01,,ramp,FALSE,TRUE,FALSE,
,E017,OUT_RAMP_START_02,OUT_JUNCTION_02,,ramp,FALSE,TRUE,FALSE,
,E018,OUT_JUNCTION_03,OUT_JUNCTION_04,,ramp,FALSE,TRUE,FALSE,
,E019,OUT_LIB_FRONT_01,OUT_JUNCTION_04,,ramp,FALSE,TRUE,FALSE,
,E020,OUT_JUNCTION_04,OUT_JUNCTION_05,,walkway,FALSE,FALSE,FALSE,
,E021,OUT_JUNCTION_05,OUT_LIB_FRONT_03,,walkway,FALSE,FALSE,FALSE,
,E022,OUT_JUNCTION_02,OUT_JUNCTION_06,,ramp,FALSE,TRUE,FALSE,
,E023,OUT_JUNCTION_06,OUT_LIB_FRONT_02,,stair,TRUE,FALSE,FALSE,
,E024,OUT_JUNCTION_06,OUT_SCI_WALK_01,78,stairs,TRUE,FALSE,FALSE,"[[319,275],[292,278],[270,282],[244,286]]"
,E025,OUT_SCI_WALK_01,OUT_SCI1_FRONT_01,38,stairs,TRUE,FALSE,FALSE,"[[244,286],[226,290],[210,296]]"
,E026,OUT_SCI1_FRONT_01,OUT_SCI_WALK_02,36,stairs,TRUE,FALSE,FALSE,"[[210,296],[216,310],[226,324]]"
,E027,OUT_SCI_WALK_02,OUT_SCI2_FRONT_01,42,stairs,TRUE,FALSE,FALSE,"[[226,324],[242,335],[258,346]]"
,E028,OUT_SCI2_FRONT_01,OUT_SCI_WALK_03,42,stairs,TRUE,FALSE,FALSE,"[[258,346],[272,360],[288,372]]"
,E029,OUT_SCI_WALK_03,OUT_SCI3_FRONT_01,36,stairs,TRUE,FALSE,FALSE,"[[288,372],[302,383],[316,392]]"
,E030,OUT_SCI1_LEVEL2_EXIT,OUT_SCI2_LEVEL1_WEST,74,walkway,FALSE,FALSE,FALSE,"[[220,304],[236,318],[258,338]]"
,E031,OUT_SCI2_LEVEL2_EAST,OUT_SCI3_LEVEL1_WEST,72,walkway,FALSE,FALSE,FALSE,"[[278,360],[294,374],[316,386]]"
,E032,OUT_SCI2_LEVEL1_WEST,OUT_SCI2_FRONT_01,22,walkway,FALSE,FALSE,FALSE,"[[258,338],[258,346]]"
,E034,OUT_SCI3_LEVEL1_WEST,OUT_SCI3_FRONT_01,18,walkway,FALSE,FALSE,FALSE,"[[316,386],[316,392]]"
,E036,OUT_RAMP_START_01,OUT_CENTRAL_STAIR_01,22,stairs,TRUE,FALSE,FALSE,"[[354,145],[358,156]]"
,E037,OUT_CENTRAL_STAIR_01,OUT_CENTRAL_STAIR_02,56,stairs,TRUE,FALSE,FALSE,"[[358,156],[356,184],[352,210]]"
,E038,OUT_CENTRAL_STAIR_02,OUT_CENTRAL_STAIR_03,60,stairs,TRUE,FALSE,FALSE,"[[352,210],[348,238],[342,268]]"
,E039,OUT_CENTRAL_STAIR_03,OUT_CENTRAL_STAIR_04,64,stairs,TRUE,FALSE,FALSE,"[[342,268],[336,300],[330,330]]"
,E040,OUT_CENTRAL_STAIR_04,OUT_SCI3_LEVEL1_WEST,66,stairs,TRUE,FALSE,FALSE,"[[330,330],[324,358],[316,386]]"
