,outdoor_node_id,x,y,node_type
,OUT_ICT_FRONT_01,357,112,entrance
,OUT_ICT_FRONT_02,397,95,entrance
,OUT_ICT_FRONT_03,397,71,entrance
,OUT_ICT_FRONT_04,337,113,entrance
,OUT_LIB_FRONT_01,411,243,entrance
,OUT_LIB_FRONT_02,346,302,entrance
,OUT_LIB_FRONT_04,366,258,entrance
,OUT_LIB_FRONT_03,395,280,entrance
,OUT_RAMP_START_01,354,145,ramp
,OUT_RAMP_START_02,345,160,ramp
,OUT_JUNCTION_01,399,188,junction
,OUT_JUNCTION_02,386,205,junction
,OUT_RAMP_START_03,424,75,ramp
,OUT_RAMP_MID_01,442,115,ramp
,OUT_RAMP_MID_02,442,177,ramp
,OUT_JUNCTION_03,425,200,junction
,OUT_JUNCTION_04,453,242,junction
,OUT_JUNCTION_05,424,284,junction
,OUT_JUNCTION_06,319,275,junction
,OUT_SCI1_FRONT_01,210,296,entrance
,OUT_SCI2_FRONT_01,258,346,entrance
,OUT_SCI3_FRONT_01,316,392,entrance
,OUT_SCI_WALK_01,244,286,junction
,OUT_SCI_WALK_02,226,324,junction
,OUT_SCI_WALK_03,288,372,junction
,OUT_SCI1_LEVEL2_EXIT,220,304,entrance
,OUT_SCI2_LEVEL1_WEST,258,338,entrance
,OUT_SCI2_LEVEL2_EAST,278,360,entrance
,OUT_SCI3_LEVEL1_WEST,316,386,entrance
,OUT_CENTRAL_STAIR_01,358,156,stairs
,OUT_CENTRAL_STAIR_02,352,210,stairs
,OUT_CENTRAL_STAIR_03,342,268,stairs
,OUT_CENTRAL_STAIR_04,330,330,stairs
