,pdf_id,building_id,floor_number,floor_label,pdf_file,has_map_data,map_type
,1,DKU_SCI1,1,1F,SCI1_1Fa.pdf,FALSE,evacuation
,2,DKU_SCI1,2,2F,SCI1_2Fa.pdf,FALSE,evacuation
,3,DKU_SCI1,3,3F,SCI1_3Fa.pdf,FALSE,evacuation
,4,DKU_SCI1,4,4F,SCI1_4Fa.pdf,FALSE,evacuation
,5,DKU_SCI1,5,5F,SCI1_5Fa.pdf,FALSE,evacuation
,6,DKU_SCI2,1,1F,SCI2_1Fa.pdf,FALSE,evacuation
,7,DKU_SCI2,2,2F,SCI2_2Fa.pdf,FALSE,evacuation
,8,DKU_SCI2,3,3F,SCI2_3Fa.pdf,FALSE,evacuation
,9,DKU_SCI2,4,4F,SCI2_4Fa.pdf,FALSE,evacuation
,10,DKU_SCI2,5,5F,SCI2_5Fa.pdf,FALSE,evacuation
,11,DKU_SCI3,1,1F,SCI3_1Fa.pdf,FALSE,evacuation
,12,DKU_SCI3,2,2F,SCI3_2Fa.pdf,FALSE,evacuation
,13,DKU_SCI3,3,3F,SCI3_3Fa.pdf,FALSE,evacuation
,14,DKU_SCI3,4,4F,SCI3_4Fa.pdf,FALSE,evacuation
,15,DKU_SCI3,5,5F,SCI3_5Fa.pdf,FALSE,evacuation
,16,DKU_LIB,1,1F,LIB_1Fa.pdf,FALSE,evacuation
,17,DKU_LIB,2,2F,LIB_2Fa.pdf,FALSE,evacuation
,18,DKU_LIB,3,3F,LIB_3Fa.pdf,FALSE,evacuation
,19,DKU_LIB,4,4F,LIB_4Fa.pdf,FALSE,evacuation
,20,DKU_LIB,5,5F,LIB_5Fa.pdf,FALSE,evacuation
,21,DKU_LIB,6,6F,LIB_6Fa.pdf,FALSE,evacuation
,22,DKU_ICT,-1,B1,ICT_B1.pdf,FALSE,evacuation
,23,DKU_ICT,1,1F,ICT_1Fa.pdf,FALSE,evacuation
,24,DKU_ICT,2,2F,ICT_2Fa.pdf,FALSE,evacuation
,25,DKU_ICT,3,3F,ICT_3Fa.pdf,FALSE,evacuation
,26,DKU_ICT,4,4F,ICT_4Fa.pdf,FALSE,evacuation
,27,DKU_ICT,5,5F,ICT_5Fa.pdf,FALSE,evacuation
