,room_type,display_name,description
,classroom,강의실,수업 및 강의가 진행되는 공간
,prep_room,실험준비실,실험 수업 및 연구를 위한 준비 공간
,laboratory,실험실,실험 및 실습 활동이 이루어지는 공간
,server_room,서버실,서버 및 네트워크 장비를 운영하는 공간
,studio,스튜디오,"촬영, 제작, 실습 등을 위한 공간"
,office,사무실,행정 및 업무 처리를 위한 공간
,professor_office,교수연구실,교수의 연구 및 상담이 이루어지는 공간
,department_office,학과사무실,학과 행정 업무를 담당하는 공간
,research_lab,연구실,연구 프로젝트와 연구 활동을 수행하는 공간
,seminar_room,세미나실,"세미나, 발표, 회의가 이루어지는 공간"
,studyroom,스터디룸,소규모 학습 및 토론을 위한 공간
,student_room,학생회실,학생회 및 학생 자치 활동 공간
,equipment_room,장비실,장비 및 물품을 보관하거나 관리하는 공간
,unknown,미확인 공간,용도가 확인되지 않은 공간
,convenience_store,편의점,상품과 식품을 판매하는 공간
,mixed-use,공동사용공간,여러 용도로 함께 사용하는 공간
,counseling_room,상담실,상담 및 면담을 진행하는 공간
,mentor_room,멘토링룸,멘토링 및 개별 지도를 위한 공간
,club_room,동아리실,동아리 활동을 위한 공간
,reading_room,열람실,조용히 학습 및 독서를 할 수 있는 공간
,archive,서고,자료 및 도서를 보관하는 공간
,restroom,휴게실,휴식 및 편의를 위한 공간
,lounge,라운지,자유로운 휴식과 소통을 위한 공간
,secuirty_office,경비실,건물 보안 및 출입 관리를 담당하는 공간
,broadcast_room,방송실,방송 및 음향 장비를 운영하는 공간
,multi_room,다목적실,다양한 행사와 활동에 사용하는 공간
,circulation_room,대출실,도서 대출 및 반납 업무를 수행하는 공간
,library,도서관,자료 열람과 학습을 지원하는 공간
